source_role,target_role,similarity_score,transition_probability,shared_skills,cluster_affinity,centrality_score,evidence
Ejecutivo Comercial TI,Especialista IA,1.0,0.846,"[""AI"", ""APIs"", ""AWS"", ""Agile"", ""Azure"", ""ELT"", ""KPIs"", ""Kanban""]",Enterprise Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Especialista IA""]}"
Ejecutivo Comercial TI,Confidencial2,1.0,0.846,"[""Azure"", ""KPIs"", ""compliance"", ""comunicacion"", ""reporting"", ""security""]",Enterprise Analytics,0.34,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Ejecutivo Comercial TI"", ""Confidencial2""]}"
Indra Colombia LTDA,Desarrollador Backend .NET Senior (hibrido),1.0,0.839,"[""AI"", ""APIs"", ""Agile"", ""Azure"", ""ELT"", ""Kanban"", ""MLflow"", ""Python""]",Enterprise Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Indra Colombia LTDA"", ""Desarrollador Backend .NET Senior (hibrido)""]}"
Técnico de Soporte,Administrador Linux,1.0,0.839,"[""AWS"", ""BI"", ""ITIL"", ""compliance"", ""comunicacion"", ""reporting"", ""resolucion de problemas"", ""security""]",Enterprise Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""Administrador Linux""]}"
Técnico de Soporte,Desarrollador Backend .NET Senior (hibrido),1.0,0.839,"[""AWS"", ""BI"", ""Oracle"", ""compliance"", ""comunicacion"", ""reporting"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""Desarrollador Backend .NET Senior (hibrido)""]}"
Técnico de Soporte,CS3 SAS,1.0,0.839,"[""comunicacion"", ""reporting"", ""resolucion de problemas"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""CS3 SAS""]}"
Administrador Linux,Desarrollador Backend .NET Senior (hibrido),1.0,0.839,"[""AWS"", ""Azure"", ""BI"", ""KPIs"", ""compliance"", ""comunicacion"", ""data governance"", ""reporting""]",Governance & Quality,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Administrador Linux"", ""Desarrollador Backend .NET Senior (hibrido)""]}"
Administrador Linux,CS3 SAS,1.0,0.839,"[""Azure"", ""comunicacion"", ""reporting"", ""resolucion de problemas"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Administrador Linux"", ""CS3 SAS""]}"
Desarrollador Backend .NET Senior (hibrido),CS3 SAS,1.0,0.839,"[""APIs"", ""Azure"", ""comunicacion"", ""reporting"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.54,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Desarrollador Backend .NET Senior (hibrido)"", ""CS3 SAS""]}"
Indra Colombia LTDA,Líder IA Generativa-GitHub Copilot-Bogotá,1.0,0.839,"[""AI"", ""APIs"", ""Azure"", ""Copilot BI"", ""LLM"", ""RAG""]",AI Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Indra Colombia LTDA"", ""Líder IA Generativa-GitHub Copilot-Bogotá""]}"
Indra Colombia LTDA,Analista Funcional de Procesos de Software,1.0,0.839,"[""AI"", ""APIs"", ""Agile"", ""Azure"", ""ELT"", ""Kanban"", ""MLflow"", ""Python""]",AI Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Indra Colombia LTDA"", ""Analista Funcional de Procesos de Software""]}"
Indra Colombia LTDA,Especialista IA,1.0,0.839,"[""AI"", ""APIs"", ""Agile"", ""Azure"", ""ELT"", ""Kanban"", ""MLflow"", ""Python""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""AI Analytics"", ""roles"": [""Indra Colombia LTDA"", ""Especialista IA""]}"
Técnico de Soporte,Administrador de Aplicaciones (Oracle / WebLogic / Middleware),1.0,0.839,"[""AWS"", ""Oracle"", ""compliance"", ""comunicacion"", ""security""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""Administrador de Aplicaciones (Oracle / WebLogic / Middleware)""]}"
Técnico de Soporte,Ingeniero Preventa - Administrador de Plataforma,1.0,0.839,"[""AWS"", ""BI"", ""ITIL"", ""Power BI"", ""compliance"", ""comunicacion"", ""reporting"", ""resolucion de problemas""]",BI & Visualization,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""Ingeniero Preventa - Administrador de Plataforma""]}"
Técnico de Soporte,Líder IA Generativa-GitHub Copilot-Bogotá,1.0,0.839,"[""AWS"", ""Oracle"", ""comunicacion"", ""resolucion de problemas"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""Líder IA Generativa-GitHub Copilot-Bogotá""]}"
Técnico de Soporte,Ingeniero de Soporte Infraestructura Junior,1.0,0.839,"[""AWS"", ""BI"", ""ITIL"", ""Power BI"", ""compliance"", ""comunicacion"", ""reporting"", ""resolucion de problemas""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""Ingeniero de Soporte Infraestructura Junior""]}"
Técnico de Soporte,Analista Funcional de Procesos de Software,1.0,0.839,"[""AWS"", ""Oracle"", ""comunicacion"", ""reporting"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""Analista Funcional de Procesos de Software""]}"
Técnico de Soporte,Especialista IA,1.0,0.839,"[""AWS"", ""compliance"", ""comunicacion"", ""reporting"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""Especialista IA""]}"
Técnico de Soporte,Administrador de Bases de Datos (DBA),1.0,0.839,"[""AWS"", ""ITIL"", ""Oracle"", ""compliance"", ""comunicacion"", ""resolucion de problemas"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""Administrador de Bases de Datos (DBA)""]}"
Técnico de Soporte,Venta Equipos SAS,1.0,0.839,"[""ITIL"", ""compliance"", ""comunicacion"", ""resolucion de problemas"", ""trabajo en equipo""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""BI & Visualization"", ""roles"": [""Técnico de Soporte"", ""Venta Equipos SAS""]}"
Administrador Linux,Administrador de Aplicaciones (Oracle / WebLogic / Middleware),1.0,0.839,"[""AWS"", ""Azure"", ""compliance"", ""comunicacion"", ""security""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Administrador Linux"", ""Administrador de Aplicaciones (Oracle / WebLogic / Middleware)""]}"
Administrador Linux,Ingeniero Preventa - Administrador de Plataforma,1.0,0.839,"[""AWS"", ""Azure"", ""BI"", ""ITIL"", ""KPIs"", ""compliance"", ""comunicacion"", ""reporting""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Administrador Linux"", ""Ingeniero Preventa - Administrador de Plataforma""]}"
Administrador Linux,Líder IA Generativa-GitHub Copilot-Bogotá,1.0,0.839,"[""AWS"", ""Azure"", ""comunicacion"", ""resolucion de problemas"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Administrador Linux"", ""Líder IA Generativa-GitHub Copilot-Bogotá""]}"
Administrador Linux,Ingeniero de Soporte Infraestructura Junior,1.0,0.839,"[""AWS"", ""Azure"", ""BI"", ""ITIL"", ""compliance"", ""comunicacion"", ""reporting"", ""resolucion de problemas""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Administrador Linux"", ""Ingeniero de Soporte Infraestructura Junior""]}"
Administrador Linux,Analista Funcional de Procesos de Software,1.0,0.839,"[""AWS"", ""Azure"", ""comunicacion"", ""reporting"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Administrador Linux"", ""Analista Funcional de Procesos de Software""]}"
Administrador Linux,Especialista IA,1.0,0.839,"[""AWS"", ""Azure"", ""KPIs"", ""compliance"", ""comunicacion"", ""reporting"", ""security"", ""trabajo en equipo""]",Enterprise Analytics,0.53,"{""metric_period"": ""2026-05"", ""role_family"": ""Governance & Quality"", ""roles"": [""Administrador Linux"", ""Especialista IA""]}"
